Date,NewConfirmed,NewRecovered,NewHospitalized,NewDeaths,Confirmed,Recovered,Hospitalized,Deaths
2020-01-01,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0
2020-01-12,1,0,1,0,1,0,1,0
2020-01-13,0,0,0,0,1,0,1,0
2020-01-14,0,0,0,0,1,0,1,0
2020-01-15,0,0,0,0,1,0,1,0
2020-01-16,0,0,0,0,1,0,1,0
2020-01-17,1,0,1,0,2,0,2,0
2020-01-18,0,1,-1,0,2,1,1,0
2020-01-19,0,0,0,0,2,1,1,0
2020-01-20,0,0,0,0,2,1,1,0
2020-01-21,0,1,-1,0,2,2,0,0
2020-01-22,2,0,2,0,4,2,2,0
2020-01-23,0,0,0,0,4,2,2,0
2020-01-24,1,1,0,0,5,3,2,0
2020-01-25,1,0,1,0,6,3,3,0
2020-01-26,2,3,-1,0,8,6,2,0
2020-01-27,0,0,0,0,8,6,2,0
2020-01-28,6,0,6,0,14,6,8,0
2020-01-29,0,0,0,0,14,6,8,0
2020-01-30,0,1,-1,0,14,7,7,0
2020-01-31,5,1,4,0,19,8,11,0
2020-02-01,0,0,0,0,19,8,11,0
2020-02-02,0,1,-1,0,19,9,10,0
2020-02-03,0,0,0,0,19,9,10,0
2020-02-04,6,1,5,0,25,10,15,0
2020-02-05,0,0,0,0,25,10,15,0
2020-02-06,0,0,0,0,25,10,15,0
2020-02-07,0,0,0,0,25,10,15,0
2020-02-08,7,0,7,0,32,10,22,0
2020-02-09,0,1,-1,0,32,11,21,0
2020-02-10,0,0,0,0,32,11,21,0
2020-02-11,1,0,1,0,33,11,22,0
2020-02-12,0,0,0,0,33,11,22,0
2020-02-13,0,0,0,0,33,11,22,0
2020-02-14,0,0,0,0,33,11,22,0
2020-02-15,1,2,-1,0,34,13,21,0
